Question_ID,Dimension,Type,Question,Option_A,Option_B,Option_C,Option_D
q1,S1 (Self-Esteem),Main,"[Scenario] Read this and pick your gut reaction: 'I'm a total loser — I'm a clown, I'm a deadbeat. I've never once had a relationship my whole life. Timid and full of self-doubt, my youth was nothing but daydreams. Every day I fantasized about having a girl to walk down the street with, go shopping with, just hang out with — but reality hit: I burned through my parents' savings, ended up at a crappy school, coasted along aimlessly, and landed a dead-end office job. No ideals, no goals, no ability — a triple zero. Every time I see people make 'loser' jokes online, I want to cry. I'm like a rat underground, peeking through sewer grates at all the beauty above. Every time I see something like that, it's another wound to my soul, another squeeze on the space I have left to breathe. Please, just give us clowns a way to survive — I really don't want to cry my pillow soaking wet in broad daylight.'","I'm tearing up...","What even is this...","That's not me!",
q2,S1 (Self-Esteem),Main,"I'm not good enough — everyone around me is more talented and successful.","Definitely","Sometimes","No",
q3,S2 (Self-Clarity),Main,"I know clearly what my true self is really like.","Disagree","Neutral","Agree",
q4,S2 (Self-Clarity),Main,"Deep in my heart, I have something I truly pursue.","Disagree","Neutral","Agree",
q5,S3 (Core Values),Main,"I feel compelled to keep pushing upward and becoming more capable.","Disagree","Neutral","Agree",
q6,S3 (Core Values),Main,"What other people think of me is completely irrelevant to me.","Disagree","Neutral","Agree",
q7,E1 (Attachment Security),Main,"Your partner hasn't replied for over 5 hours and claims they had an upset stomach. What would you think?","Diarrhea can't possibly last 5 hours — maybe they're hiding something from me.","Wavering between trust and doubt.","Maybe they really aren't feeling well today.",
q8,E1 (Attachment Security),Main,"In a relationship, I often worry about being abandoned by my partner.","Yes","Sometimes","No",
q9,E2 (Emotional Investment),Main,"I swear on my life — I have been genuinely serious in every relationship I've ever had!","Not really.","Maybe?","Yes! (confident face, no regrets)",
q10,E2 (Emotional Investment),Main,"[Scenario] Your romantic partner is someone who respects elders, is gentle and kind, morally upright, eloquent, observant, extremely knowledgeable, patient, approachable, warm-hearted, endlessly optimistic, effortlessly elegant, and stunningly beautiful in every way. How would you respond?","No matter how amazing they are, I wouldn't let myself fall too deep.","Somewhere between A and C.","I'd cherish them with everything — I might even become totally love-brained.",
